,PE,PB,ROE,ROA,DebtToEquity,Momentum_6m,Volatility,Return_1y
NVDA,0.1190567347634912,1.4639908236516037,2.1920320045336794,5.152706159821967,-0.8145428819243828,-0.25895075207526025,2.278989745868943,0.6192889868769229
NFLX,0.3838967657292619,0.4807733487608959,0.14589518324973882,0.49876388929244525,-0.38071799033799264,2.1325403607559257,0.23014540106889064,1.7512311874217572
INTC,,-0.36497407553144356,-1.281499336599832,-0.9541872547937263,-0.5581449688323996,0.09888139065826208,2.426340037500402,-1.9192954248131997
AMD,1.974456593497853,-0.2531768152278549,-0.7547982092243131,-0.627757412609057,-0.8792319933931196,-1.9178586775227042,1.360405506876319,-1.6623106092723332
BA,,-2.2541341873023035,,-1.2703087962561859,,0.726093159385616,0.3915035492030716,-0.5463531961607588
GE,-0.0014334242815995802,0.19801457187363963,-0.1275667040438151,-0.4852111603448076,-0.15263698468947037,0.49883531402594217,0.26249383159907036,1.3025923139413476
HON,-0.2508370401360154,-0.020612643070170085,-0.010969762470849933,-0.044973346197279655,0.31199397355440106,0.21043266258269197,-0.7973120543737455,-0.08536486156232058
IBM,0.12683911928220729,0.03594859558541168,-0.21846724984327562,-0.5068690261630525,0.6385527941715969,0.7835309595203792,-0.2541769560708457,0.9550542042054012
T,-0.40351535870895794,-0.31777508111370806,-0.5689677931809778,-0.3964972099739198,-0.027787144695287477,1.7932779604781832,-0.6272822642126239,2.0509185937269225
VZ,-0.6081536873433354,-0.31921867540805465,-0.3600764636507429,-0.30007805734077175,0.3303760152136236,0.06048107411726142,-0.5950955202773869,0.1768427738201913
PFE,-0.42110015799423983,-0.3328685420746535,-0.5985921974295335,-0.3426649184929938,-0.3556449725991004,-0.8049514870635276,-0.507389998511261,-0.42589518624064165
MRNA,,-0.3599751589409742,-1.5571912902525589,-2.4023487826790637,-0.8587599288369937,-3.1945311114147485,3.160162874975015,-2.8215608388587965
JNJ,-0.16150333041151144,-0.12758601149545312,-0.31985924419611683,0.020312582672399347,-0.5244360925958861,-0.08985781141606568,-1.0024312386782197,-0.10064914486099741
LLY,0.9518357438164777,2.386374598895849,1.3072782647784462,0.770320310984025,0.8666918560117,-0.7133157594605636,0.23524525458557713,-0.05594908432579792
NKE,-0.31830550544200187,-0.047470574787234945,-0.018850969034145366,0.04540655220219268,-0.2913840255432709,-1.5119839984555112,0.3947396373807783,-1.3173811451292181
ADBE,-0.20321519035775454,0.29106125529463545,0.37014356066245846,0.9645122328639614,-0.5447847877449031,-1.6130974916641367,0.5400872541861933,-1.0451113348412073
ORCL,0.015277317465426713,0.909108334266605,1.8008578383876157,-0.06090436208384167,3.681582589919143,-0.7633702769536277,0.7702534342976599,0.37849780071685607
CSCO,-0.18168012123270308,-0.13007778441757917,-0.32079688573349624,-0.1431625920387786,-0.3917196386425254,1.0808805636623906,-0.8167374731219286,0.6897334869384356
CAT,-0.48381358524339535,0.029098818961525882,0.57396655755821,0.18160120840538674,0.543768804392242,-0.5776180254389852,-0.13665137317974427,-0.4781769657131605
MMM,-0.33933177815082344,0.7307417191831466,1.4995453619009227,-0.2084486250328125,1.6370539761432097,0.6950472986620829,0.24737206111544416,2.46885737044897
UPS,-0.4583011533754557,-0.1154585947007743,0.03236458292063611,-0.08589425932091706,0.203356325059114,-0.8201713991854317,-0.03983683262845456,-1.0325564159832776
FDX,-0.4871360211701867,-0.30228380549053935,-0.4540180090308934,-0.3177791976729912,,-0.42296494171313903,0.2624870157314946,-0.7791100902072602
MDT,-0.18702271716262708,-0.2967591975723025,-0.61417732028057,-0.34099892881466726,-0.5193198907128415,-0.141529508293166,-0.7263694090198468,-0.15538967962732658
UNH,-0.01804736858740686,-0.1451644401738446,-0.4447429603097887,-0.09110047706568748,-0.32991156568097824,-0.6656893657111568,0.05102352691745853,-0.06166511769034856
CVS,-0.4086119386220575,-0.35965818023528867,-0.6755548284841646,-0.6182820859011393,-0.11389173383333562,1.044580449251351,0.9966123737353959,-0.7070882799158167
TGT,-0.5743513201911679,-0.24293716650490826,-0.09016240920132734,-0.1655493908159044,0.07496505737851147,-1.971921409158208,0.6102868826963309,-1.6181675620525642
LOW,-0.392699269719483,-0.9098574007490993,,0.8058267160033592,,-0.7783130533567596,-0.5254004437731238,-0.5370775202877673
