,PE,PB,ROE,ROA,DebtToEquity,Momentum_6m,Volatility,Return_1y,Target
INTC,,-0.3649740755314435,-1.281499336599832,-0.9541872547937263,-0.5581449688323996,0.098881390658262,2.426340037500402,-1.9192954248132,0
AMD,1.974456593497853,-0.2531768152278549,-0.7547982092243131,-0.627757412609057,-0.8792319933931196,-1.917858677522704,1.360405506876319,-1.6623106092723332,0
BA,,-2.2541341873023035,,-1.270308796256186,,0.726093159385616,0.3915035492030716,-0.5463531961607588,0
GE,-0.0014334242815995,0.1980145718736396,-0.1275667040438151,-0.4852111603448076,-0.1526369846894703,0.4988353140259421,0.2624938315990703,1.3025923139413476,1
HON,-0.2508370401360154,-0.02061264307017,-0.0109697624708499,-0.0449733461972796,0.311993973554401,0.2104326625826919,-0.7973120543737455,-0.0853648615623205,0
IBM,0.1268391192822072,0.0359485955854116,-0.2184672498432756,-0.5068690261630525,0.6385527941715969,0.7835309595203792,-0.2541769560708457,0.9550542042054012,1
T,-0.4035153587089579,-0.317775081113708,-0.5689677931809778,-0.3964972099739198,-0.0277871446952874,1.7932779604781832,-0.6272822642126239,2.0509185937269225,1
VZ,-0.6081536873433354,-0.3192186754080546,-0.3600764636507429,-0.3000780573407717,0.3303760152136236,0.0604810741172614,-0.5950955202773869,0.1768427738201913,1
PFE,-0.4211001579942398,-0.3328685420746535,-0.5985921974295335,-0.3426649184929938,-0.3556449725991004,-0.8049514870635276,-0.507389998511261,-0.4258951862406416,0
MRNA,,-0.3599751589409742,-1.5571912902525589,-2.402348782679064,-0.8587599288369937,-3.1945311114147485,3.160162874975015,-2.8215608388587965,0
JNJ,-0.1615033304115114,-0.1275860114954531,-0.3198592441961168,0.0203125826723993,-0.5244360925958861,-0.0898578114160656,-1.0024312386782197,-0.1006491448609974,0
LLY,0.9518357438164776,2.386374598895849,1.3072782647784462,0.770320310984025,0.8666918560117,-0.7133157594605636,0.2352452545855771,-0.0559490843257979,0
NKE,-0.3183055054420018,-0.0474705747872349,-0.0188509690341453,0.0454065522021926,-0.2913840255432709,-1.5119839984555112,0.3947396373807783,-1.317381145129218,0
ADBE,-0.2032151903577545,0.2910612552946354,0.3701435606624584,0.9645122328639614,-0.5447847877449031,-1.6130974916641367,0.5400872541861933,-1.045111334841207,0
ORCL,0.0152773174654267,0.909108334266605,1.8008578383876157,-0.0609043620838416,3.681582589919143,-0.7633702769536277,0.7702534342976599,0.378497800716856,1
CSCO,-0.181680121232703,-0.1300777844175791,-0.3207968857334962,-0.1431625920387786,-0.3917196386425254,1.0808805636623906,-0.8167374731219286,0.6897334869384356,1
CAT,-0.4838135852433953,0.0290988189615258,0.57396655755821,0.1816012084053867,0.543768804392242,-0.5776180254389852,-0.1366513731797442,-0.4781769657131605,0
MMM,-0.3393317781508234,0.7307417191831466,1.4995453619009227,-0.2084486250328125,1.6370539761432097,0.6950472986620829,0.2473720611154441,2.46885737044897,1
UPS,-0.4583011533754557,-0.1154585947007743,0.0323645829206361,-0.085894259320917,0.203356325059114,-0.8201713991854317,-0.0398368326284545,-1.0325564159832776,0
FDX,-0.4871360211701867,-0.3022838054905393,-0.4540180090308934,-0.3177791976729912,,-0.422964941713139,0.2624870157314946,-0.7791100902072602,0
MDT,-0.187022717162627,-0.2967591975723025,-0.61417732028057,-0.3409989288146672,-0.5193198907128415,-0.141529508293166,-0.7263694090198468,-0.1553896796273265,0
UNH,-0.0180473685874068,-0.1451644401738446,-0.4447429603097887,-0.0911004770656874,-0.3299115656809782,-0.6656893657111568,0.0510235269174585,-0.0616651176903485,0
CVS,-0.4086119386220575,-0.3596581802352886,-0.6755548284841646,-0.6182820859011393,-0.1138917338333356,1.044580449251351,0.996612373735396,-0.7070882799158167,0
TGT,-0.5743513201911679,-0.2429371665049082,-0.0901624092013273,-0.1655493908159044,0.0749650573785114,-1.971921409158208,0.6102868826963309,-1.6181675620525642,0
LOW,-0.392699269719483,-0.9098574007490992,,0.8058267160033592,,-0.7783130533567596,-0.5254004437731238,-0.5370775202877673,0
